"project","version","code_lines","test_lines","test_ratio" 
openhab,11,287321,7490,0.02606840432826003
openhab,12,295414,7692,0.026038034758000636
openhab,13,316284,8369,0.02646039635264509
openhab,14,316919,8369,0.026407378541520074
openhab,15,317987,8371,0.02632497554931491
openhab,16,319038,8371,0.026238253750336952
openhab,17,319521,8371,0.026198591015926965
openhab,18,321967,8423,0.026161066196225078
openhab,19,337866,8415,0.024906323808847296
openhab,20,342383,8439,0.024647835903067617
openhab,21,324125,10329,0.03186733513305052
openhab,22,331138,10908,0.03294094909071143
openhab,23,335587,10908,0.03250423884119468
openhab,24,321779,10023,0.031148707653389437
scikit-learn,1,29634,8026,0.27083755146115945
scikit-learn,2,31821,8608,0.27051318311806666
scikit-learn,3,607,0,0
scikit-learn,4,35133,9632,0.2741581988443913
scikit-learn,5,36679,10135,0.2763161482046948
scikit-learn,6,37334,10488,0.280923554936519
scikit-learn,7,37939,10709,0.2822689053480587
scikit-learn,8,38733,11044,0.2851315415795317
scikit-learn,9,39088,11288,0.2887842816209578
scikit-learn,10,40217,11815,0.293781236790412
scikit-learn,11,40566,12081,0.2978109747078834
scikit-learn,12,41736,12634,0.30271228675483997
scikit-learn,13,44052,13714,0.31131390175247436
scikit-learn,14,45738,14597,0.3191438191438191
scikit-learn,15,47221,15218,0.3222718705660617
scikit-learn,16,48122,15834,0.3290386933211421
scikit-learn,17,48535,16186,0.3334912949417946
scikit-learn,18,49214,16347,0.3321615800382005
scikit-learn,19,52307,16829,0.32173514061215513
scikit-learn,20,48676,16317,0.33521653381543265
scikit-learn,21,65651,19523,0.29737551598604745
scikit-learn,22,65924,19758,0.2997087555366786
scikit-learn,23,60988,20423,0.33486915458778777
scikit-learn,24,61208,20527,0.3353646582146125
Ghost,1,87607,57946,0.6614311641763786
Ghost,2,87607,57946,0.6614311641763786
Ghost,3,87607,57946,0.6614311641763786
Ghost,4,87607,57946,0.6614311641763786
Ghost,5,87607,57946,0.6614311641763786
Ghost,6,87607,57946,0.6614311641763786
Ghost,7,87607,57946,0.6614311641763786
